varname,varkey,firsttime,lasttime

# Assets: real assets: main residence
asset_firm_doubleprop5_1_3,p6_392c5_1_3,2002,2005
asset_firm_doubleprop6_1_3,p6_392c6_1_3,2002,2002
asset_firm_doubleprop1_2_1,p6_392c1_2_1,2002,2005
asset_firm_doubleprop2_2_1,p6_392c2_2_1,2002,2005
asset_firm_doubleprop3_2_1,p6_392c3_2_1,2002,2005
asset_firm_doubleprop4_2_1,p6_392c4_2_1,2002,2005
asset_firm_doubleprop5_2_1,p6_392c5_2_1,2002,2005
asset_firm_doubleprop6_2_1,p6_392c6_2_1,2002,2002
asset_firm_doubleprop1_2_2,p6_392c1_2_2,2002,2005
asset_firm_doubleprop2_2_2,p6_392c2_2_2,2002,2005
asset_firm_doubleprop3_2_2,p6_392c3_2_2,2002,2005
asset_firm_doubleprop4_2_2,p6_392c4_2_2,2002,2005
asset_firm_doubleprop5_2_2,p6_392c5_2_2,2002,2005
asset_firm_doubleprop6_2_2,p6_392c6_2_2,2002,2002
asset_firm_doubleprop1_2_3,p6_392c1_2_3,2002,2005
asset_firm_doubleprop2_2_3,p6_392c2_2_3,2002,2005
asset_firm_doubleprop3_2_3,p6_392c3_2_3,2002,2005
asset_firm_doubleprop4_2_3,p6_392c4_2_3,2002,2005
asset_firm_doubleprop5_2_3,p6_392c5_2_3,2002,2005
asset_firm_doubleprop6_2_3,p6_392c6_2_3,2002,2002
asset_firm_doubleprop1_3_1,p6_392c1_3_1,2002,2005
asset_firm_doubleprop2_3_1,p6_392c2_3_1,2002,2005
asset_firm_doubleprop3_3_1,p6_392c3_3_1,2002,2005
asset_firm_doubleprop4_3_1,p6_392c4_3_1,2002,2005
asset_firm_doubleprop5_3_1,p6_392c5_3_1,2002,2005
asset_firm_doubleprop6_3_1,p6_392c6_3_1,2002,2002
asset_firm_doubleprop1_3_2,p6_392c1_3_2,2002,2005
asset_firm_doubleprop2_3_2,p6_392c2_3_2,2002,2005
asset_firm_doubleprop3_3_2,p6_392c3_3_2,2002,2005
asset_firm_doubleprop4_3_2,p6_392c4_3_2,2002,2005
asset_firm_doubleprop5_3_2,p6_392c5_3_2,2002,2005
asset_firm_doubleprop6_3_2,p6_392c6_3_2,2002,2002
asset_firm_doubleprop1_3_3,p6_392c1_3_3,2002,2005
asset_firm_doubleprop2_3_3,p6_392c2_3_3,2002,2005
asset_firm_doubleprop3_3_3,p6_392c3_3_3,2002,2005
asset_firm_doubleprop4_3_3,p6_392c4_3_3,2002,2005
asset_firm_doubleprop5_3_3,p6_392c5_3_3,2002,2005
asset_firm_doubleprop6_3_3,p6_392c6_3_3,2002,2002
asset_firm_doubleprop1_4_1,p6_392c1_4_1,2002,2005
asset_firm_doubleprop2_4_1,p6_392c2_4_1,2002,2005
asset_firm_doubleprop3_4_1,p6_392c3_4_1,2002,2005
asset_firm_doubleprop4_4_1,p6_392c4_4_1,2002,2005
asset_firm_doubleprop5_4_1,p6_392c5_4_1,2002,2005
asset_firm_doubleprop6_4_1,p6_392c6_4_1,2002,2002
asset_firm_doubleprop1_4_2,p6_392c1_4_2,2002,2005
asset_firm_doubleprop2_4_2,p6_392c2_4_2,2002,2005
asset_firm_doubleprop3_4_2,p6_392c3_4_2,2002,2005
asset_firm_doubleprop4_4_2,p6_392c4_4_2,2002,2005
asset_firm_doubleprop5_4_2,p6_392c5_4_2,2002,2005
asset_firm_doubleprop6_4_2,p6_392c6_4_2,2002,2002
asset_firm_doubleprop1_4_3,p6_392c1_4_3,2002,2005
asset_firm_doubleprop2_4_3,p6_392c2_4_3,2002,2005
asset_firm_doubleprop3_4_3,p6_392c3_4_3,2002,2005
asset_firm_doubleprop4_4_3,p6_392c4_4_3,2002,2005
asset_firm_doubleprop5_4_3,p6_392c5_4_3,2002,2005
asset_firm_doubleprop6_4_3,p6_392c6_4_3,2002,2002
asset_firm_doubleprop1_5_1,p6_392c1_5_1,2002,2005
asset_firm_doubleprop2_5_1,p6_392c2_5_1,2002,2005
asset_firm_doubleprop3_5_1,p6_392c3_5_1,2002,2005
asset_firm_doubleprop4_5_1,p6_392c4_5_1,2002,2005
asset_firm_doubleprop5_5_1,p6_392c5_5_1,2002,2005
asset_firm_doubleprop6_5_1,p6_392c6_5_1,2002,2002
asset_firm_doubleprop1_5_2,p6_392c1_5_2,2002,2005
asset_firm_doubleprop2_5_2,p6_392c2_5_2,2002,2005
asset_firm_doubleprop3_5_2,p6_392c3_5_2,2002,2005
asset_firm_doubleprop4_5_2,p6_392c4_5_2,2002,2005
asset_firm_doubleprop5_5_2,p6_392c5_5_2,2002,2005
asset_firm_doubleprop6_5_2,p6_392c6_5_2,2002,2002
asset_firm_doubleprop1_5_3,p6_392c1_5_3,2002,2005
asset_firm_doubleprop2_5_3,p6_392c2_5_3,2002,2005
asset_firm_doubleprop3_5_3,p6_392c3_5_3,2002,2005
asset_firm_doubleprop4_5_3,p6_392c4_5_3,2002,2005
asset_firm_doubleprop5_5_3,p6_392c5_5_3,2002,2005
asset_firm_doubleprop6_5_3,p6_392c6_5_3,2002,2002
asset_firm_doubleprop1_6_1,p6_392c1_6_1,2002,2005
asset_firm_doubleprop2_6_1,p6_392c2_6_1,2002,2005
asset_firm_doubleprop3_6_1,p6_392c3_6_1,2002,2005
asset_firm_doubleprop4_6_1,p6_392c4_6_1,2002,2005
asset_firm_doubleprop5_6_1,p6_392c5_6_1,2002,2005
asset_firm_doubleprop6_6_1,p6_392c6_6_1,2002,2002
asset_firm_doubleprop1_6_2,p6_392c1_6_2,2002,2005
asset_firm_doubleprop2_6_2,p6_392c2_6_2,2002,2005
asset_firm_doubleprop3_6_2,p6_392c3_6_2,2002,2005
asset_firm_doubleprop4_6_2,p6_392c4_6_2,2002,2005
asset_firm_doubleprop5_6_2,p6_392c5_6_2,2002,2005
asset_firm_doubleprop6_6_2,p6_392c6_6_2,2002,2002
asset_firm_doubleprop1_6_3,p6_392c1_6_3,2002,2005
asset_firm_doubleprop2_6_3,p6_392c2_6_3,2002,2005
asset_firm_doubleprop3_6_3,p6_392c3_6_3,2002,2005
asset_firm_doubleprop4_6_3,p6_392c4_6_3,2002,2005
asset_firm_doubleprop5_6_3,p6_392c5_6_3,2002,2005
asset_firm_doubleprop6_6_3,p6_392c6_6_3,2002,2002
asset_firm_doubleprop1_7_1,p6_392c1_7_1,2002,2005
asset_firm_doubleprop2_7_1,p6_392c2_7_1,2002,2005
asset_firm_doubleprop3_7_1,p6_392c3_7_1,2002,2005
asset_firm_doubleprop4_7_1,p6_392c4_7_1,2002,2005
asset_firm_doubleprop5_7_1,p6_392c5_7_1,2002,2005
asset_firm_doubleprop6_7_1,p6_392c6_7_1,2002,2002
asset_firm_doubleprop1_7_2,p6_392c1_7_2,2002,2005
asset_firm_doubleprop2_7_2,p6_392c2_7_2,2002,2005
asset_firm_doubleprop3_7_2,p6_392c3_7_2,2002,2005
asset_firm_doubleprop4_7_2,p6_392c4_7_2,2002,2005
asset_firm_doubleprop5_7_2,p6_392c5_7_2,2002,2005
asset_firm_doubleprop6_7_2,p6_392c6_7_2,2002,2002
asset_firm_doubleprop1_7_3,p6_392c1_7_3,2002,2005
asset_firm_doubleprop2_7_3,p6_392c2_7_3,2002,2005
asset_firm_doubleprop3_7_3,p6_392c3_7_3,2002,2005
asset_firm_doubleprop4_7_3,p6_392c4_7_3,2002,2005
asset_firm_doubleprop5_7_3,p6_392c5_7_3,2002,2005
asset_firm_doubleprop6_7_3,p6_392c6_7_3,2002,2002
asset_firm_doubleprop1_8_1,p6_392c1_8_1,2002,2005
asset_firm_doubleprop2_8_1,p6_392c2_8_1,2002,2005
asset_firm_doubleprop3_8_1,p6_392c3_8_1,2002,2005
asset_firm_doubleprop4_8_1,p6_392c4_8_1,2002,2005
asset_firm_doubleprop5_8_1,p6_392c5_8_1,2002,2005
asset_firm_doubleprop6_8_1,p6_392c6_8_1,2002,2002
asset_firm_doubleprop1_8_2,p6_392c1_8_2,2002,2005
asset_firm_doubleprop2_8_2,p6_392c2_8_2,2002,2005
asset_firm_doubleprop3_8_2,p6_392c3_8_2,2002,2005
asset_firm_doubleprop4_8_2,p6_392c4_8_2,2002,2005
asset_firm_doubleprop5_8_2,p6_392c5_8_2,2002,2005
asset_firm_doubleprop6_8_2,p6_392c6_8_2,2002,2002
asset_firm_doubleprop1_8_3,p6_392c1_8_3,2002,2005
asset_firm_doubleprop2_8_3,p6_392c2_8_3,2002,2005
asset_firm_doubleprop3_8_3,p6_392c3_8_3,2002,2005
asset_firm_doubleprop4_8_3,p6_392c4_8_3,2002,2005
asset_firm_doubleprop5_8_3,p6_392c5_8_3,2002,2005
asset_firm_doubleprop6_8_3,p6_392c6_8_3,2002,2002
asset_firm_doubleprop1_9_1,p6_392c1_9_1,2002,2005
asset_firm_doubleprop2_9_1,p6_392c2_9_1,2002,2005
asset_firm_doubleprop3_9_1,p6_392c3_9_1,2002,2005
asset_firm_doubleprop4_9_1,p6_392c4_9_1,2002,2005
asset_firm_doubleprop5_9_1,p6_392c5_9_1,2002,2005
asset_firm_doubleprop6_9_1,p6_392c6_9_1,2002,2002
asset_firm_doubleprop1_9_2,p6_392c1_9_2,2002,2005
asset_firm_doubleprop2_9_2,p6_392c2_9_2,2002,2005
asset_firm_doubleprop3_9_2,p6_392c3_9_2,2002,2005
asset_firm_doubleprop4_9_2,p6_392c4_9_2,2002,2005
asset_firm_doubleprop5_9_2,p6_392c5_9_2,2002,2005
asset_firm_doubleprop6_9_2,p6_392c6_9_2,2002,2002
asset_firm_doubleprop1_9_3,p6_392c1_9_3,2002,2005
asset_firm_doubleprop2_9_3,p6_392c2_9_3,2002,2005
asset_firm_doubleprop3_9_3,p6_392c3_9_3,2002,2005
asset_firm_doubleprop4_9_3,p6_392c4_9_3,2002,2005
asset_firm_doubleprop5_9_3,p6_392c5_9_3,2002,2005
asset_firm_doubleprop6_9_3,p6_392c6_9_3,2002,2002
asset_firm_doublecar_1_1,p6_402_1_1,2002,2005
asset_firm_doublecar_1_2,p6_402_1_2,2002,2005
asset_firm_doublecar_1_3,p6_402_1_3,2002,2005
asset_firm_doublecar_2_1,p6_402_2_1,2002,2005
asset_firm_doublecar_2_2,p6_402_2_2,2002,2005
asset_firm_doublecar_2_3,p6_402_2_3,2002,2005
asset_firm_doublecar_3_1,p6_402_3_1,2002,2005
asset_firm_doublecar_3_2,p6_402_3_2,2002,2005
asset_firm_doublecar_3_3,p6_402_3_3,2002,2005
asset_firm_doublecar_4_1,p6_402_4_1,2002,2005
asset_firm_doublecar_4_2,p6_402_4_2,2002,2005
asset_firm_doublecar_4_3,p6_402_4_3,2002,2005
asset_firm_doublecar_5_1,p6_402_5_1,2002,2005
asset_firm_doublecar_5_2,p6_402_5_2,2002,2005
asset_firm_doublecar_5_3,p6_402_5_3,2002,2005
asset_firm_doublecar_6_1,p6_402_6_1,2002,2005
asset_firm_doublecar_6_2,p6_402_6_2,2002,2005
asset_firm_doublecar_6_3,p6_402_6_3,2002,2005
asset_firm_doublecar_7_1,p6_402_7_1,2002,2005
asset_firm_doublecar_7_2,p6_402_7_2,2002,2005
asset_firm_doublecar_7_3,p6_402_7_3,2002,2005
asset_firm_doublecar_8_1,p6_402_8_1,2002,2005
asset_firm_doublecar_8_2,p6_402_8_2,2002,2005
asset_firm_doublecar_8_3,p6_402_8_3,2002,2005
asset_firm_doublecar_9_1,p6_402_9_1,2002,2005
asset_firm_doublecar_9_2,p6_402_9_2,2002,2005
asset_firm_doublecar_9_3,p6_402_9_3,2002,2005

# Assets: real assets: jewellery, art, antiques, etc
asset_lux,p2_84,2002,2099

# Assets: financial assets
asset_bank_house,p4_7_1,2002,2099
asset_bank_unusable,p4_7_2,2002,2099
asset_bank_usable,p4_7_3,2002,2099
asset_listed,p4_15,2002,2099
asset_unlisted,p4_24,2002,2099
asset_funds_1,p4_31_1,2002,2099
asset_funds_2,p4_31_2,2002,2099
asset_funds_3,p4_31_3,2002,2099
asset_funds_4,p4_31_4,2002,2099
asset_funds_5,p4_31_5,2002,2099
asset_funds_6,p4_31_6,2002,2099
asset_funds_7,p4_31_7,2002,2099
asset_funds_8,p4_31_8,2002,2099
asset_funds_9,p4_31_9,2002,2099
asset_funds_10,p4_31_10,2002,2099
asset_funds_11,p4_28a,2002,2099
asset_fixedinc,p4_35,2002,2099
asset_pension,p5_7_0,2005,2099
asset_pension_1,p5_7_1,2002,2099
asset_pension_2,p5_7_2,2002,2099
asset_pension_3,p5_7_3,2002,2099
asset_pension_4,p5_7_4,2002,2099
asset_pension_5,p5_7_5,2002,2099
asset_pension_6,p5_7_6,2002,2099
asset_pension_7,p5_7_7,2002,2099
asset_pension_8,p5_7_8,2002,2099
asset_pension_9,p5_7_9,2002,2099
asset_pension_10,p5_7_10,2002,2099
asset_pension_type_1,p5_2_1,2002,2099
asset_pension_type_2,p5_2_2,2002,2099
asset_pension_type_3,p5_2_3,2002,2099
asset_pension_type_4,p5_2_4,2002,2099
asset_pension_type_5,p5_2_5,2002,2099
asset_pension_type_6,p5_2_6,2002,2099
asset_pension_type_7,p5_2_7,2002,2099
asset_pension_type_8,p5_2_8,2002,2099
asset_pension_type_9,p5_2_9,2002,2099
asset_pension_type_10,p5_2_10,2002,2099
asset_pension_other,p5_27,2020,2099
asset_lifeins_1,p5_14_1,2002,2099
asset_lifeins_2,p5_14_2,2002,2099
asset_lifeins_3,p5_14_3,2002,2099
asset_lifeins_4,p5_14_4,2002,2099
asset_lifeins_5,p5_14_5,2002,2099
asset_lifeins_6,p5_14_6,2002,2099
asset_family,p4_38,2002,2099
asset_crypto,p4_44a,2022,2099
asset_otherfin,p4_39a,2020,2099
income_otherfin,p4_40,2002,2099
asset_managed,p4_43,2008,2099

# Assets: other
asset_cars,p2_75,2002,2099
asset_furniture,p2_71,2002,2099

# Debts: real estate
pr_loan_1,p2_12_1,2002,2099
pr_loan_2,p2_12_2,2002,2099
pr_loan_3,p2_12_3,2002,2099
pr_loan_4,p2_12_4,2002,2099
re_1_loan_1,p2_55_1_1,2002,2099
re_1_loan_2,p2_55_1_2,2002,2099
re_1_loan_3,p2_55_1_3,2002,2099
re_2_loan_1,p2_55_2_1,2002,2099
re_2_loan_2,p2_55_2_2,2002,2099
re_2_loan_3,p2_55_2_3,2002,2099
re_3_loan_1,p2_55_3_1,2002,2099
re_3_loan_2,p2_55_3_2,2002,2099
re_3_loan_3,p2_55_3_3,2002,2099
re_4_loans,p2_55_4,2002,2099

# Debts: other
debt_other_1,p3_6_1,2002,2099
debt_other_2,p3_6_2,2002,2099
debt_other_3,p3_6_3,2002,2099
debt_other_4,p3_6_4,2002,2099
debt_other_5,p3_6_5,2005,2099
debt_other_6,p3_6_6,2005,2099
debt_other_7,p3_6_7,2005,2099
debt_other_8,p3_6_8,2005,2099
debt_other_9,p3_21,2022,2099
debt_ccard,p8_5a,2005,2099
